                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9474,                 13.904,                 2.9331,                0.32318,                0.41877,                0.33329,                 0.1893,                 2.9507,                 5.1588,                 4.8035,             0.00041298,             0.00041298,             0.00041298
                      2,                  2.085,                 3.0446,                  2.874,                0.48747,                0.53522,                0.46787,                0.29896,                 2.4431,                 3.9507,                 3.7618,             0.00082143,             0.00082143,             0.00082143
                      3,                 1.9543,                 2.6093,                 2.7712,                0.42706,                0.39011,                0.33409,                0.21093,                 2.7346,                 6.0855,                 4.1403,              0.0012216,              0.0012216,              0.0012216
                      4,                 1.9507,                 2.5195,                 2.7526,                0.56631,                 0.4651,                0.49872,                0.31879,                 2.4134,                 3.5928,                 3.5028,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.8358,                 2.2819,                 2.6782,                0.47461,                0.40547,                0.36763,                0.23695,                 2.2359,                 5.1519,                 3.4195,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.7656,                  2.105,                  2.618,                0.64479,                0.57178,                0.65025,                0.45898,                 2.1053,                   2.83,                 3.2026,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.7312,                 1.9337,                 2.5816,                0.78779,                0.58869,                0.72793,                0.52453,                  1.947,                 2.0478,                 2.9975,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.6947,                 1.8535,                 2.5636,                0.81685,                0.66011,                0.77882,                0.56466,                 1.9211,                 1.8244,                 2.9755,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.6477,                 1.7707,                 2.5257,                 0.7573,                0.74469,                0.82372,                0.64659,                 1.7113,                 1.7044,                 2.7767,               0.001151,               0.001151,               0.001151
                     10,                 1.6037,                 1.6683,                 2.4857,                0.50836,                0.56585,                0.55127,                 0.3964,                 2.0083,                 3.1503,                 3.0955,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.5557,                 1.5405,                 2.4493,                0.82246,                0.79042,                0.85931,                0.66469,                  1.735,                 1.4775,                 2.7629,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.535,                 1.4753,                   2.44,                0.81128,                 0.6925,                0.80959,                0.61122,                 1.8263,                  2.012,                 2.8594,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.5195,                 1.4964,                 2.4469,                 0.8477,                0.77086,                 0.8832,                0.67949,                  1.733,                 1.3936,                 2.7908,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.492,                 1.3962,                 2.4148,                0.82282,                0.79893,                0.87823,                 0.6943,                 1.6019,                  1.452,                 2.6024,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.4785,                 1.3429,                 2.3993,                0.89101,                0.82631,                0.91109,                0.73407,                 1.5491,                 1.1779,                 2.5786,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.4849,                  1.347,                 2.3996,                0.85827,                0.84366,                0.91445,                0.71722,                  1.633,                 1.2107,                 2.6455,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.4574,                 1.2743,                 2.3891,                0.85532,                0.80621,                0.89538,                0.71732,                 1.5876,                 1.3182,                 2.5951,               0.001052,               0.001052,               0.001052
                     18,                 1.4341,                 1.2638,                 2.3618,                0.89454,                0.86374,                0.93688,                0.75404,                 1.5521,                0.99777,                 2.5321,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.4426,                 1.2453,                 2.3716,                0.89779,                0.81873,                0.91394,                 0.7339,                 1.5773,                 1.1253,                 2.6039,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.3907,                 1.1882,                 2.3297,                0.89065,                0.83475,                0.91578,                0.72465,                 1.6557,                 1.1228,                 2.6413,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.3971,                 1.1588,                 2.3357,                0.84077,                0.83267,                0.90658,                0.72915,                 1.5378,                  1.204,                 2.5473,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.4058,                 1.1311,                 2.3553,                0.84138,                0.87559,                0.91155,                0.74782,                 1.5397,                 1.1376,                 2.5397,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.3707,                 1.1349,                 2.3313,                0.89516,                0.80495,                0.90393,                0.72489,                  1.527,                 1.1766,                 2.5419,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.3785,                  1.122,                  2.333,                0.88696,                0.84552,                 0.9148,                0.73893,                 1.5082,                 1.1503,                 2.4888,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.3612,                  1.082,                 2.3169,                 0.9203,                0.85699,                  0.938,                0.77045,                 1.4885,                0.97282,                   2.48,               0.000953,               0.000953,               0.000953
                     26,                 1.3589,                 1.0816,                 2.3208,                0.94425,                0.90122,                0.95477,                0.76929,                  1.481,                 0.8852,                 2.4877,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.3426,                 1.0727,                 2.2982,                0.85772,                0.82781,                0.91158,                0.73604,                 1.5114,                 1.1389,                 2.5259,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.3197,                 1.0328,                 2.2861,                0.92615,                0.86503,                0.94326,                0.77757,                 1.4585,                0.90658,                  2.468,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.3398,                 1.0188,                 2.3016,                0.86662,                0.87357,                0.93757,                0.77393,                 1.4508,                 1.0296,                 2.4472,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.3207,                 1.0072,                 2.2837,                0.93776,                0.93043,                0.96631,                0.81164,                 1.4186,                0.79259,                 2.3944,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.3157,                0.98803,                 2.2913,                0.64105,                0.73562,                0.74674,                0.60135,                 1.5682,                  2.293,                 2.5989,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.2974,                0.97974,                 2.2787,                 0.8937,                0.91457,                0.95311,                0.79398,                 1.4526,                0.85344,                 2.4427,             0.00086637,             0.00086637,             0.00086637
                     33,                  1.298,                0.97789,                 2.2704,                  0.911,                0.90051,                0.95292,                0.78652,                 1.4472,                0.91288,                 2.4557,               0.000854,               0.000854,               0.000854
                     34,                 1.2948,                0.97157,                 2.2693,                0.89055,                0.91609,                0.94882,                0.79326,                 1.4431,                0.83515,                 2.4365,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.2772,                0.93423,                 2.2612,                0.88943,                0.92158,                0.95402,                0.78935,                 1.4411,                0.81559,                 2.4239,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.2652,                0.90308,                 2.2577,                0.92452,                0.92076,                0.96169,                0.79298,                 1.4596,                0.77627,                 2.4397,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.2729,                0.90775,                 2.2537,                0.95872,                0.89119,                0.95654,                0.79274,                 1.4445,                0.83662,                 2.4158,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.2511,                0.90134,                  2.257,                0.94942,                0.91144,                0.96453,                0.81067,                 1.3806,                0.74506,                 2.3814,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2622,                0.91798,                  2.255,                0.94017,                0.90646,                0.96667,                0.80681,                  1.403,                0.74463,                 2.3712,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.2373,                0.88163,                 2.2226,                 0.9505,                0.91353,                0.96176,                0.80194,                 1.4045,                0.78924,                 2.3824,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.2567,                0.85789,                 2.2419,                0.95264,                0.89137,                0.96461,                0.81425,                 1.3778,                0.74961,                  2.357,               0.000755,               0.000755,               0.000755
                     42,                  1.227,                0.83542,                 2.2177,                0.93918,                0.91107,                0.96231,                0.81615,                 1.3712,                 0.7514,                 2.3612,             0.00074263,             0.00074263,             0.00074263
                     43,                  1.216,                0.86171,                  2.229,                0.93954,                0.92063,                0.96519,                0.81997,                 1.3505,                0.72307,                 2.3233,             0.00073025,             0.00073025,             0.00073025
                     44,                  1.216,                0.81609,                 2.2155,                0.95103,                0.92982,                0.96815,                0.81772,                  1.405,                0.71187,                 2.3694,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2235,                0.83496,                 2.2258,                 0.9583,                0.91973,                0.96777,                0.81863,                 1.3565,                0.73636,                 2.3534,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.2009,                0.81968,                 2.2163,                0.94043,                0.90137,                 0.9616,                0.80892,                 1.3798,                0.80327,                 2.3742,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1939,                 0.8044,                  2.191,                0.93124,                0.94537,                0.97225,                0.82141,                 1.3559,                0.74017,                 2.3365,             0.00068075,             0.00068075,             0.00068075
